id,user_id,event_datetime,amount
15674,12584,2016-05-12T10:34:16,100
15675,12985,2016-05-13T08:25:56,50
15676,12828,2016-05-13T16:33:46,50
15677,12598,2016-05-14T01:09:37,150
15678,13037,2016-05-14T01:24:46,100
15679,12989,2016-05-14T02:19:20,200
15680,12684,2016-05-14T03:10:14,100
15681,12656,2016-05-14T03:42:48,100
15682,12624,2016-05-14T06:00:45,50
15683,13136,2016-05-14T07:31:03,50
15684,13343,2016-05-14T12:17:48,100
15685,12920,2016-05-14T12:19:38,50
15686,13535,2016-05-14T17:40:50,25
15687,13220,2016-05-14T17:59:04,100
15688,13324,2016-05-14T18:12:26,250
15689,12906,2016-05-14T18:35:11,150
15690,13234,2016-05-14T19:08:06,100
15691,12772,2016-05-14T19:23:02,50
15692,12924,2016-05-14T19:26:11,100
15693,13253,2016-05-14T23:01:06,25
15694,13034,2016-05-14T23:06:49,100
15695,12960,2016-05-15T05:59:52,250
15696,13527,2016-05-15T06:00:27,100
15697,13258,2016-05-15T06:28:35,50
15698,12834,2016-05-15T07:37:16,100
15699,12894,2016-05-15T15:19:45,100
15700,13794,2016-05-15T16:06:14,100
15701,13753,2016-05-15T17:26:37,150
15702,12611,2016-05-15T17:30:36,100
15703,13075,2016-05-15T18:33:43,100
15704,12709,2016-05-15T21:58:29,100
15705,12651,2016-05-16T01:05:38,100
15706,12844,2016-05-16T01:48:46,200
15707,13138,2016-05-16T03:56:56,50
15708,12855,2016-05-16T05:23:56,50
15709,13437,2016-05-16T05:41:07,100
15710,13377,2016-05-16T08:56:24,50
15711,12654,2016-05-16T09:36:53,200
15712,12963,2016-05-16T10:10:06,150
15713,13334,2016-05-16T10:57:00,100
15714,12969,2016-05-16T11:14:19,250
15715,13604,2016-05-16T11:25:05,50
15716,13199,2016-05-16T12:52:22,50
15717,13921,2016-05-16T12:54:21,50
15718,13719,2016-05-16T17:04:09,25
15719,12812,2016-05-16T17:18:27,200
15720,13657,2016-05-16T17:50:13,50
15721,12718,2016-05-16T17:58:45,100
15722,13749,2016-05-16T18:38:01,150
15723,12588,2016-05-17T00:16:15,50
15724,13707,2016-05-17T00:30:26,200
15725,12814,2016-05-17T00:58:33,150
15726,13336,2016-05-17T03:01:42,50
15727,13502,2016-05-17T03:42:46,50
15728,12776,2016-05-17T05:44:10,25
15729,13517,2016-05-17T06:50:29,150
15730,13914,2016-05-17T07:30:41,25
15731,12995,2016-05-17T11:18:35,250
15732,13018,2016-05-17T12:07:44,100
15733,13391,2016-05-17T16:06:04,150
15734,12662,2016-05-17T16:35:58,50
15735,13039,2016-05-17T17:00:27,50
15736,13810,2016-05-17T18:58:41,150
15737,13703,2016-05-17T19:30:34,100
15738,13635,2016-05-17T21:34:38,50
15739,13774,2016-05-17T21:59:45,100
15740,12733,2016-05-17T23:28:31,200
15741,13222,2016-05-18T01:44:55,150
15742,13256,2016-05-18T01:54:20,150
15743,13327,2016-05-18T02:38:22,100
15744,13453,2016-05-18T03:25:41,50
15745,13224,2016-05-18T10:12:22,25
15746,13435,2016-05-18T11:49:43,150
15747,13004,2016-05-18T12:50:06,100
15748,13638,2016-05-18T13:49:05,50
15749,12932,2016-05-18T19:01:50,100
15750,13002,2016-05-18T21:08:59,50
15751,13314,2016-05-18T22:53:05,150
15752,12917,2016-05-18T23:19:49,100
15753,13710,2016-05-19T00:11:11,100
15754,13479,2016-05-19T01:02:13,100
15755,13845,2016-05-19T03:35:04,150
15756,13735,2016-05-19T05:39:24,250
15757,13504,2016-05-19T06:01:57,100
15758,13368,2016-05-19T06:56:37,50
15759,13584,2016-05-19T12:08:35,50
15760,13458,2016-05-19T13:15:02,250
15761,13128,2016-05-19T19:17:32,50
15762,14069,2016-05-19T19:58:56,150
15763,13540,2016-05-19T21:57:14,100
15764,12877,2016-05-19T22:05:25,50
15765,13406,2016-05-19T22:41:30,50
15766,12769,2016-05-20T00:37:55,200
15767,13898,2016-05-20T00:58:26,200
15768,13260,2016-05-20T02:33:20,50
15769,13680,2016-05-20T03:04:37,150
15770,14098,2016-05-20T05:36:21,100
15771,12976,2016-05-20T05:36:49,50
15772,14034,2016-05-20T05:57:03,200
15773,14015,2016-05-20T14:28:52,150
15774,14062,2016-05-20T15:49:49,50
15775,13359,2016-05-20T16:43:52,50
15776,13369,2016-05-20T19:10:25,100
15777,13198,2016-05-21T03:30:51,25
15778,14085,2016-05-21T07:31:03,100
15779,14126,2016-05-21T10:31:14,100
15780,14100,2016-05-21T12:42:27,100
15781,13308,2016-05-21T13:08:08,200
15782,12686,2016-05-21T18:49:44,50
15783,12679,2016-05-21T22:51:18,150
15784,14090,2016-05-23T10:10:12,100
15785,13970,2016-05-23T16:09:55,100
15786,14152,2016-05-24T01:57:19,50
15787,14031,2016-05-24T07:40:49,150
15788,14040,2016-05-24T12:57:27,50
15789,14196,2016-05-24T22:09:28,150
15790,14207,2016-05-25T05:00:04,100
15791,14222,2016-05-25T21:04:43,50
15792,14233,2016-05-28T03:52:01,200
15793,14153,2016-05-28T04:55:43,25
15794,14202,2016-05-28T10:01:37,200
15795,14270,2016-05-31T02:58:02,100
15796,14256,2016-05-31T03:03:41,50
15797,14340,2016-06-02T22:35:40,50
15798,14329,2016-06-03T06:18:54,50
15799,14321,2016-06-03T13:57:54,150
15800,14274,2016-06-05T00:53:37,50
15801,14405,2016-06-08T07:56:54,50
15802,14451,2016-06-08T11:44:14,200
15803,14406,2016-06-08T13:09:33,150
15804,14349,2016-06-08T18:21:25,100
15805,14403,2016-06-08T21:33:16,100
15806,14499,2016-06-09T13:16:35,100
15807,14501,2016-06-10T03:08:36,150
15808,14416,2016-06-11T00:39:23,50
15809,14498,2016-06-11T12:09:14,50
15810,14453,2016-06-11T18:22:12,100
15811,14473,2016-06-12T08:48:33,100
15812,14481,2016-06-12T08:51:02,200
15813,14488,2016-06-12T09:44:22,100
15814,14441,2016-06-12T16:05:44,150
15815,14533,2016-06-13T01:46:59,200
15816,14546,2016-06-13T09:01:05,100
15817,14484,2016-06-13T12:17:36,200
15818,14515,2016-06-13T16:57:02,50
15819,14467,2016-06-13T23:30:45,150
15820,14420,2016-06-14T18:07:50,200
15821,14522,2016-06-14T18:20:32,100
15822,14559,2016-06-15T07:10:14,100
15823,14525,2016-06-16T18:29:02,100
15824,14571,2016-06-17T23:35:42,200
15825,14595,2016-06-19T17:24:52,200
15826,14623,2016-06-20T06:45:11,100
15827,14628,2016-06-24T00:26:17,50
15828,14650,2016-06-24T06:01:51,150
15829,14602,2016-06-24T15:26:47,150
15830,14652,2016-06-25T10:39:04,250
15831,14637,2016-06-26T20:24:12,250
15832,14649,2016-06-30T07:44:56,100
15833,14669,2016-07-01T00:53:33,100
15834,14713,2016-07-04T16:49:14,200
15835,14724,2016-07-07T18:38:42,150
15836,14779,2016-07-14T09:24:59,100
15837,14766,2016-07-15T22:33:49,100
15838,14824,2016-07-15T22:44:24,50
15839,14765,2016-07-17T04:04:05,150
15840,14817,2016-07-17T06:06:43,100
15841,14867,2016-07-22T02:29:07,200
15842,14860,2016-07-22T20:26:01,100
15843,14856,2016-07-23T03:08:27,150
15844,14883,2016-07-23T09:52:43,150
15845,14822,2016-07-24T02:02:17,50
15846,14879,2016-07-24T02:47:23,100
15847,14868,2016-07-27T19:54:47,50
15848,14928,2016-07-30T11:32:56,50
15849,14940,2016-08-04T22:18:33,100
15850,14999,2016-08-06T19:31:27,100
15851,14954,2016-08-07T11:00:20,50
15852,15001,2016-08-07T12:10:03,25
15853,14984,2016-08-09T16:42:08,100
15854,15042,2016-08-11T15:29:57,150
15855,15012,2016-08-12T05:14:32,200
15856,15045,2016-08-12T23:11:00,200
15857,15044,2016-08-13T11:16:30,50
15858,15019,2016-08-16T02:18:02,50
15859,15071,2016-08-17T17:09:08,50
15860,15129,2016-08-20T01:21:07,50
15861,15116,2016-08-22T13:37:08,50
